group_code,group_name,table_name,column_name,declared_type,primary_key,not_null,required_without_default,nullable,schema_default,foreign_key,unique_participant,check_or_cross_column_rule,status_policy,derivation_or_authoring_rule,common_failure
G01,shared_reference,certification,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,certification,certification_uuid,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer generates or validates the stable identifier; manual SQL must provide it unless a table-specific template says otherwise.,omit → NOT NULL constraint failed: certification.certification_uuid; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,certification,certification_name,TEXT,no,yes,yes,no,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: certification.certification_name
G01,shared_reference,certification,normalized_certification_name,TEXT,no,yes,yes,no,,,no,no,,Canonical importer must normalize the source value before INSERT; manual SQL must provide the reviewed normalized value.,omit → NOT NULL constraint failed: certification.normalized_certification_name
G01,shared_reference,certification,certification_type_id,INTEGER,no,no,no,yes,,certification_type.id ON DELETE RESTRICT,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,unknown parent ID → FOREIGN KEY constraint failed
G01,shared_reference,certification,issuing_organization_id,INTEGER,no,no,no,yes,,issuing_organization.id ON DELETE RESTRICT,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,unknown parent ID → FOREIGN KEY constraint failed
G01,shared_reference,certification,certification_url,TEXT,no,no,no,yes,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,invalid values may still be rejected by the canonical importer
G01,shared_reference,certification,typical_validity_months,INTEGER,no,no,no,yes,,,no,yes,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,certification,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,certification,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: certification.created_at
G01,shared_reference,certification,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: certification.updated_at
G01,shared_reference,certification_type,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,certification_type,certification_type_code,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: certification_type.certification_type_code; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,certification_type,certification_type_name,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: certification_type.certification_type_name; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,certification_type,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,certification_type,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: certification_type.created_at
G01,shared_reference,certification_type,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: certification_type.updated_at
G01,shared_reference,city,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,city,city_uuid,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer generates or validates the stable identifier; manual SQL must provide it unless a table-specific template says otherwise.,omit → NOT NULL constraint failed: city.city_uuid; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,city,country_id,INTEGER,no,yes,yes,no,,country.id ON DELETE RESTRICT,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: city.country_id; unknown parent ID → FOREIGN KEY constraint failed
G01,shared_reference,city,state_id,INTEGER,no,no,no,yes,,state.id ON DELETE RESTRICT,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,unknown parent ID → FOREIGN KEY constraint failed
G01,shared_reference,city,city_name,TEXT,no,yes,yes,no,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: city.city_name
G01,shared_reference,city,normalized_city_name,TEXT,no,yes,yes,no,,,no,no,,Canonical importer must normalize the source value before INSERT; manual SQL must provide the reviewed normalized value.,omit → NOT NULL constraint failed: city.normalized_city_name
G01,shared_reference,city,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,city,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: city.created_at
G01,shared_reference,city,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: city.updated_at
G01,shared_reference,contact_type,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,contact_type,contact_type_code,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: contact_type.contact_type_code; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,contact_type,contact_type_name,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: contact_type.contact_type_name; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,contact_type,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,contact_type,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: contact_type.created_at
G01,shared_reference,contact_type,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: contact_type.updated_at
G01,shared_reference,country,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,country,country_code,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: country.country_code; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,country,country_name,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: country.country_name; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,country,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,country,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: country.created_at
G01,shared_reference,country,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: country.updated_at
G01,shared_reference,degree,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,degree,degree_code,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: degree.degree_code; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,degree,degree_name,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: degree.degree_name; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,degree,degree_level_rank,INTEGER,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: degree.degree_level_rank; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,degree,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,degree,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: degree.created_at
G01,shared_reference,degree,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: degree.updated_at
