module,entity,comparison_dimension,new_design,teammate_design,old_design,difference,reason,tradeoff,migration_action,decision_status,evidence_source
global,all,naming,"lower_snake_case; singular table names; id as local PK","lowercase plural tables; entity-specific PK names such as company_id and role_id","capitalized singular table names; quoted identifiers","New design standardizes names across Worker SQL and migrations","Reduce quoting and naming inconsistency","Resolves case/name mismatch risk but requires explicit migration mapping","Rename through new-schema migration rather than in-place case change",decided,"worker.js; Create_schema_2026-08-04.sql"
global,all,primary_key,"INTEGER PRIMARY KEY plus stable entity UUID on core records","Primarily integer IDs and source record IDs","INTEGER PRIMARY KEY AUTOINCREMENT on nearly all tables","New design separates internal joins from cross-system identity","Support D1/R2/Workflow/API correlation and future migration","Resolves unstable external integer references but adds UUID storage and uniqueness checks","Generate UUID during trusted intake/publish",decided,"worker.js; Create_schema_2026-08-04.sql"
global,all,autoincrement,"Do not use AUTOINCREMENT by default","Not fully documented in supplied project docs","AUTOINCREMENT used pervasively","New design relies on SQLite INTEGER PRIMARY KEY and stable UUID","Avoid unnecessary sqlite_sequence dependency","Reduces schema overhead; numeric IDs are not permanent public identifiers","Use UUID for external references",decided,"Create_schema_2026-08-04.sql"
global,all,timestamps,"UTC ISO 8601 TEXT; consistent created_at/updated_at rules","Mixed source times and direct status updates","TEXT timestamps without one global enforcement rule","New design defines authority and update behavior","Reliable audit ordering and reproducible workflows","Resolves timezone ambiguity but requires every writer to use one time helper","Normalize during migration",decided,"worker.js; Create_schema_2026-08-04.sql"
global,all,workflow,"Workflow A and B; persisted run/step/attempt records","Single Worker orchestration loop","Sequential Colab cells and CSV handoffs","New design makes every production step durable and observable","Support real-time one-record processing, retries and compensation","More control-plane tables and code","Replace notebook ordering with Workflow definitions",decided,"worker.js; chaojiwudiniubidaima (11).ipynb"
global,all,outbox,"Transactional outbox at asynchronous boundaries","No persistent outbox found","No production outbox in original ETL","New design commits business state and pending event together","Avoid published data without downstream trigger","Requires dispatcher and idempotent consumers","Create outbox_event and dispatcher",decided,"worker.js; original Colab cells"
global,all,sql_trigger,"No business SQL triggers in first version","No trigger-based orchestration found","No consistent trigger-based orchestration","Use explicit Worker/Workflow services and conditional SQL","Keep business logic visible, testable and retryable","Some simple invariants require service code","Review optional defensive triggers only after workflows stabilize",decided,"architecture decision 2026-08-13"
global,all,foreign_keys,"Keep same-layer FKs; explicit ON DELETE; Application-to-Offer FK; lineage boundary","Small schema with limited documented FK behavior","Many FKs but mostly implicit NO ACTION","New design assigns deletion behavior by relationship lifecycle","Prevent orphaned business data and accidental history deletion","Schema changes to FK rules require careful migrations","Recreate relationships in new schema",decided,"worker documentation; Create_schema_2026-08-04.sql"
global,all,missing_values,"NULL for genuinely absent extracted/optional values","Minimal fields; runtime validation","Some strong constraints and some nullable audit fields","New design is lenient in raw/extraction and strict in published layers","Avoid placeholders and preserve honest extraction uncertainty","Published code must validate before promotion","Map unknown/empty placeholders to NULL",decided,"worker.js; original importer cells"
global,child_entities,missing_child_policy,"Zero business child rows when the entity is absent; nullable optional attributes when the entity exists; execution outcome stays in run/status records","Submission parse status exists but no complete multi-level child-entity model","Individual importers sometimes skipped unusable rows but no one global recursive rule covered all child and bridge tables","New design separates entity existence from attribute absence and from execution outcome","Prevent fake Education Employment Skill Project Location and bridge rows while retaining observability","Every child table must define minimum admission criteria and optional joins must handle zero rows","Apply recursively during each group review; migrate placeholders to NULL or audit-only rejected output",decided,"architecture confirmation 2026-08-17; original extraction/import cells; teammate resume_parse_status behavior"
